awardYear,category,dateAwarded,prizeAmount,prizeAmountAdjusted,id,name,motivation
1989,Chemistry,1989-10-12,3000000,5938490,273,Sidney Altman,for their discovery of catalytic properties of RNA
1989,Chemistry,1989-10-12,3000000,5938490,274,Thomas R. Cech,for their discovery of catalytic properties of RNA
1989,Economic Sciences,1989-10-11,3000000,5938490,703,Trygve Haavelmo,for his clarification of the probability theory foundations of econometrics and his analyses of simultaneous economic structures
1989,Literature,1989-10-09,3000000,5938490,666,Camilo José Cela,"for a rich and intensive prose, which with restrained compassion forms a challenging vision of man's vulnerability"
1989,Peace,1989-10-05,3000000,5938490,551,The 14th Dalai Lama,for advocating peaceful solutions based upon tolerance and mutual respect in order to preserve the historical and cultural heritage of his people
1989,Physics,1989-10-12,3000000,5938490,135,Norman F. Ramsey,for the invention of the separated oscillatory fields method and its use in the hydrogen maser and other atomic clocks
1989,Physics,1989-10-12,3000000,5938490,136,Hans G. Dehmelt,for the development of the ion trap technique
1989,Physics,1989-10-12,3000000,5938490,137,Wolfgang Paul,for the development of the ion trap technique
1989,Physiology or Medicine,1989-10-09,3000000,5938490,440,J. Michael Bishop,for their discovery of the cellular origin of retroviral oncogenes
1989,Physiology or Medicine,1989-10-09,3000000,5938490,441,Harold E. Varmus,for their discovery of the cellular origin of retroviral oncogenes
1990,Chemistry,1990-10-17,4000000,7169620,275,Elias James Corey,for his development of the theory and methodology of organic synthesis
1990,Economic Sciences,1990-10-16,4000000,7169620,704,Harry M. Markowitz,for their pioneering work in the theory of financial economics
1990,Economic Sciences,1990-10-16,4000000,7169620,705,Merton H. Miller,for their pioneering work in the theory of financial economics
1990,Economic Sciences,1990-10-16,4000000,7169620,706,William F. Sharpe,for their pioneering work in the theory of financial economics
1990,Literature,1990-10-11,4000000,7169620,667,Octavio Paz,"for impassioned writing with wide horizons, characterized by sensuous intelligence and humanistic integrity"
1990,Peace,1990-10-15,4000000,7169620,552,Mikhail Gorbachev,for the leading role he played in the radical changes in East-West relations
1990,Physics,1990-10-17,4000000,7169620,138,Jerome I. Friedman,"for their pioneering investigations concerning deep inelastic scattering of electrons on protons and bound neutrons, which have been of essential importance for the development of the quark model in particle physics"
1990,Physics,1990-10-17,4000000,7169620,139,Henry W. Kendall,"for their pioneering investigations concerning deep inelastic scattering of electrons on protons and bound neutrons, which have been of essential importance for the development of the quark model in particle physics"
1990,Physics,1990-10-17,4000000,7169620,140,Richard E. Taylor,"for their pioneering investigations concerning deep inelastic scattering of electrons on protons and bound neutrons, which have been of essential importance for the development of the quark model in particle physics"
1990,Physiology or Medicine,1990-10-08,4000000,7169620,442,Joseph E. Murray,for their discoveries concerning organ and cell transplantation in the treatment of human disease
1990,Physiology or Medicine,1990-10-08,4000000,7169620,443,E. Donnall Thomas,for their discoveries concerning organ and cell transplantation in the treatment of human disease
1991,Chemistry,1991-10-16,6000000,9825752,276,Richard R. Ernst,for his contributions to the development of the methodology of high resolution nuclear magnetic resonance (NMR) spectroscopy
1991,Economic Sciences,1991-10-15,6000000,9825752,707,Ronald H. Coase,for his discovery and clarification of the significance of transaction costs and property rights for the institutional structure and functioning of the economy
1991,Literature,1991-10-03,6000000,9825752,668,Nadine Gordimer,who through her magnificent epic writing has - in the words of Alfred Nobel - been of very great benefit to humanity
1991,Peace,1991-10-14,6000000,9825752,553,Aung San Suu Kyi,for her non-violent struggle for democracy and human rights
1991,Physics,1991-10-16,6000000,9825752,141,Pierre-Gilles de Gennes,"for discovering that methods developed for studying order phenomena in simple systems can be generalized to more complex forms of matter, in particular to liquid crystals and polymers"
1991,Physiology or Medicine,1991-10-07,6000000,9825752,444,Erwin Neher,for their discoveries concerning the function of single ion channels in cells
1991,Physiology or Medicine,1991-10-07,6000000,9825752,445,Bert Sakmann,for their discoveries concerning the function of single ion channels in cells
1992,Chemistry,1992-10-14,6500000,10403919,277,Rudolph A. Marcus,for his contributions to the theory of electron transfer reactions in chemical systems
1992,Economic Sciences,1992-10-13,6500000,10403919,708,Gary Becker,"for having extended the domain of microeconomic analysis to a wide range of human behaviour and interaction, including nonmarket behaviour"
1992,Literature,1992-10-08,6500000,10403919,669,Derek Walcott,"for a poetic oeuvre of great luminosity, sustained by a historical vision, the outcome of a multicultural commitment"
1992,Peace,1992-10-16,6500000,10403919,554,Rigoberta Menchú Tum,for her struggle for social justice and ethno-cultural reconciliation based on respect for the rights of indigenous peoples
1992,Physics,1992-10-14,6500000,10403919,142,Georges Charpak,"for his invention and development of particle detectors, in particular the multiwire proportional chamber"
1992,Physiology or Medicine,1992-10-12,6500000,10403919,446,Edmond H. Fischer,for their discoveries concerning reversible protein phosphorylation as a biological regulatory mechanism
1992,Physiology or Medicine,1992-10-12,6500000,10403919,447,Edwin G. Krebs,for their discoveries concerning reversible protein phosphorylation as a biological regulatory mechanism
1993,Chemistry,1993-10-13,6700000,10245356,278,Kary B. Mullis,for his invention of the polymerase chain reaction (PCR) method
1993,Chemistry,1993-10-13,6700000,10245356,279,Michael Smith,"for his fundamental contributions to the establishment of oligonucleotide-based, site-directed mutagenesis and its development for protein studies"
1993,Economic Sciences,1993-10-12,6700000,10245356,709,Robert W. Fogel,for having renewed research in economic history by applying economic theory and quantitative methods in order to explain economic and institutional change
1993,Economic Sciences,1993-10-12,6700000,10245356,710,Douglass C. North,for having renewed research in economic history by applying economic theory and quantitative methods in order to explain economic and institutional change
1993,Literature,1993-10-07,6700000,10245356,670,Toni Morrison,"who in novels characterized by visionary force and poetic import, gives life to an essential aspect of American reality"
1993,Peace,1993-10-15,6700000,10245356,555,Nelson Mandela,"for their work for the peaceful termination of the apartheid regime, and for laying the foundations for a new democratic South Africa"
1993,Peace,1993-10-15,6700000,10245356,556,F.W. de Klerk,"for their work for the peaceful termination of the apartheid regime, and for laying the foundations for a new democratic South Africa"
1993,Physics,1993-10-13,6700000,10245356,143,Russell A. Hulse,"for the discovery of a new type of pulsar, a discovery that has opened up new possibilities for the study of gravitation"
1993,Physics,1993-10-13,6700000,10245356,144,Joseph H. Taylor Jr.,"for the discovery of a new type of pulsar, a discovery that has opened up new possibilities for the study of gravitation"
1993,Physiology or Medicine,1993-10-11,6700000,10245356,448,Richard J. Roberts,for their discoveries of split genes
1993,Physiology or Medicine,1993-10-11,6700000,10245356,449,Phillip A. Sharp,for their discoveries of split genes
1994,Chemistry,1994-10-12,7000000,10477801,280,George A. Olah,for his contribution to carbocation chemistry
1994,Economic Sciences,1994-10-11,7000000,10477801,711,John C. Harsanyi,for their pioneering analysis of equilibria in the theory of non-cooperative games
1994,Economic Sciences,1994-10-11,7000000,10477801,712,John F. Nash Jr.,for their pioneering analysis of equilibria in the theory of non-cooperative games
1994,Economic Sciences,1994-10-11,7000000,10477801,713,Reinhard Selten,for their pioneering analysis of equilibria in the theory of non-cooperative games
1994,Literature,1994-10-13,7000000,10477801,671,Kenzaburo Oe,"who with poetic force creates an imagined world, where life and myth condense to form a disconcerting picture of the human predicament today"
1994,Peace,1994-10-14,7000000,10477801,557,Yasser Arafat,for their efforts to create peace in the Middle East
1994,Peace,1994-10-14,7000000,10477801,558,Shimon Peres,for their efforts to create peace in the Middle East
1994,Peace,1994-10-14,7000000,10477801,559,Yitzhak Rabin,for their efforts to create peace in the Middle East
1994,Physics,1994-10-12,7000000,10477801,145,Bertram N. Brockhouse,for the development of neutron spectroscopy
1994,Physics,1994-10-12,7000000,10477801,146,Clifford G. Shull,for the development of the neutron diffraction technique
1994,Physiology or Medicine,1994-10-10,7000000,10477801,450,Alfred G. Gilman,for their discovery of G-proteins and the role of these proteins in signal transduction in cells
1994,Physiology or Medicine,1994-10-10,7000000,10477801,451,Martin Rodbell,for their discovery of G-proteins and the role of these proteins in signal transduction in cells
1995,Chemistry,1995-10-11,7200000,10510515,281,Paul J. Crutzen,"for their work in atmospheric chemistry, particularly concerning the formation and decomposition of ozone"
1995,Chemistry,1995-10-11,7200000,10510515,282,Mario J. Molina,"for their work in atmospheric chemistry, particularly concerning the formation and decomposition of ozone"
1995,Chemistry,1995-10-11,7200000,10510515,283,F. Sherwood Rowland,"for their work in atmospheric chemistry, particularly concerning the formation and decomposition of ozone"
1995,Economic Sciences,1995-10-10,7200000,10510515,714,Robert E. Lucas Jr.,"for having developed and applied the hypothesis of rational expectations, and thereby having transformed macroeconomic analysis and deepened our understanding of economic policy"
1995,Literature,1995-10-05,7200000,10510515,672,Seamus Heaney,"for works of lyrical beauty and ethical depth, which exalt everyday miracles and the living past"
1995,Peace,1995-10-13,7200000,10510515,560,Joseph Rotblat,"for their efforts to diminish the part played by nuclear arms in international politics and, in the longer run, to eliminate such arms"
1995,Peace,1995-10-13,7200000,10510515,561,Pugwash Conferences on Science and World Affairs,"for their efforts to diminish the part played by nuclear arms in international politics and, in the longer run, to eliminate such arms"
1995,Physics,1995-10-11,7200000,10510515,147,Martin L. Perl,for the discovery of the tau lepton
1995,Physics,1995-10-11,7200000,10510515,148,Frederick Reines,for the detection of the neutrino
1995,Physiology or Medicine,1995-10-09,7200000,10510515,452,Edward B. Lewis,for their discoveries concerning the genetic control of early embryonic development
1995,Physiology or Medicine,1995-10-09,7200000,10510515,453,Christiane Nüsslein-Volhard,for their discoveries concerning the genetic control of early embryonic development
1995,Physiology or Medicine,1995-10-09,7200000,10510515,454,Eric F. Wieschaus,for their discoveries concerning the genetic control of early embryonic development
1996,Chemistry,1996-10-09,7400000,10750752,284,Robert F. Curl Jr.,for their discovery of fullerenes
1996,Chemistry,1996-10-09,7400000,10750752,285,Sir Harold Kroto,for their discovery of fullerenes
1996,Chemistry,1996-10-09,7400000,10750752,286,Richard E. Smalley,for their discovery of fullerenes
1996,Economic Sciences,1996-10-08,7400000,10750752,715,James A. Mirrlees,for their fundamental contributions to the economic theory of incentives under asymmetric information
1996,Economic Sciences,1996-10-08,7400000,10750752,716,William Vickrey,for their fundamental contributions to the economic theory of incentives under asymmetric information
1996,Literature,1996-10-03,7400000,10750752,673,Wisława Szymborska,for poetry that with ironic precision allows the historical and biological context to come to light in fragments of human reality
1996,Peace,1996-10-11,7400000,10750752,562,Carlos Filipe Ximenes Belo,for their work towards a just and peaceful solution to the conflict in East Timor
1996,Peace,1996-10-11,7400000,10750752,563,José Ramos-Horta,for their work towards a just and peaceful solution to the conflict in East Timor
1996,Physics,1996-10-09,7400000,10750752,149,David M. Lee,for their discovery of superfluidity in helium-3
1996,Physics,1996-10-09,7400000,10750752,150,Douglas D. Osheroff,for their discovery of superfluidity in helium-3
1996,Physics,1996-10-09,7400000,10750752,151,Robert C. Richardson,for their discovery of superfluidity in helium-3
1996,Physiology or Medicine,1996-10-07,7400000,10750752,455,Peter C. Doherty,for their discoveries concerning the specificity of the cell mediated immune defence
1996,Physiology or Medicine,1996-10-07,7400000,10750752,456,Rolf M. Zinkernagel,for their discoveries concerning the specificity of the cell mediated immune defence
1997,Chemistry,1997-10-15,7500000,10844112,287,Paul D. Boyer,for their elucidation of the enzymatic mechanism underlying the synthesis of adenosine triphosphate (ATP)
1997,Chemistry,1997-10-15,7500000,10844112,288,John E. Walker,for their elucidation of the enzymatic mechanism underlying the synthesis of adenosine triphosphate (ATP)
1997,Chemistry,1997-10-15,7500000,10844112,289,Jens C. Skou,"for the first discovery of an ion-transporting enzyme, Na+, K+ -ATPase"
1997,Economic Sciences,1997-10-14,7500000,10844112,717,Robert C. Merton,for a new method to determine the value of derivatives
1997,Economic Sciences,1997-10-14,7500000,10844112,718,Myron Scholes,for a new method to determine the value of derivatives
1997,Literature,1997-10-09,7500000,10844112,674,Dario Fo,who emulates the jesters of the Middle Ages in scourging authority and upholding the dignity of the downtrodden
1997,Peace,1997-10-10,7500000,10844112,564,International Campaign to Ban Landmines,for their work for the banning and clearing of anti-personnel mines
1997,Peace,1997-10-10,7500000,10844112,565,Jody Williams,for their work for the banning and clearing of anti-personnel mines
1997,Physics,1997-10-15,7500000,10844112,152,Steven Chu,for development of methods to cool and trap atoms with laser light
1997,Physics,1997-10-15,7500000,10844112,153,Claude Cohen-Tannoudji,for development of methods to cool and trap atoms with laser light
1997,Physics,1997-10-15,7500000,10844112,154,William D. Phillips,for development of methods to cool and trap atoms with laser light
1997,Physiology or Medicine,1997-10-06,7500000,10844112,457,Stanley B. Prusiner,for his discovery of Prions - a new biological principle of infection
1998,Chemistry,1998-10-13,7600000,11003681,290,Walter Kohn,for his development of the density-functional theory
1998,Chemistry,1998-10-13,7600000,11003681,291,John Pople,for his development of computational methods in quantum chemistry
1998,Economic Sciences,1998-10-14,7600000,11003681,719,Amartya Sen,for his contributions to welfare economics
1998,Literature,1998-10-08,7600000,11003681,675,José Saramago,"who with parables sustained by imagination, compassion and irony continually enables us once again to apprehend an elusory reality"
1998,Peace,1998-10-16,7600000,11003681,566,John Hume,for their efforts to find a peaceful solution to the conflict in Northern Ireland
1998,Peace,1998-10-16,7600000,11003681,567,David Trimble,for their efforts to find a peaceful solution to the conflict in Northern Ireland
1998,Physics,1998-10-13,7600000,11003681,155,Robert B. Laughlin,for their discovery of a new form of quantum fluid with fractionally charged excitations
1998,Physics,1998-10-13,7600000,11003681,156,Horst L. Störmer,for their discovery of a new form of quantum fluid with fractionally charged excitations
1998,Physics,1998-10-13,7600000,11003681,157,Daniel C. Tsui,for their discovery of a new form of quantum fluid with fractionally charged excitations
1998,Physiology or Medicine,1998-10-12,7600000,11003681,458,Robert F. Furchgott,for their discoveries concerning nitric oxide as a signalling molecule in the cardiovascular system
1998,Physiology or Medicine,1998-10-12,7600000,11003681,459,Louis J. Ignarro,for their discoveries concerning nitric oxide as a signalling molecule in the cardiovascular system
1998,Physiology or Medicine,1998-10-12,7600000,11003681,460,Ferid Murad,for their discoveries concerning nitric oxide as a signalling molecule in the cardiovascular system
1999,Chemistry,1999-10-12,7900000,11383718,292,Ahmed Zewail,for his studies of the transition states of chemical reactions using femtosecond spectroscopy
1999,Economic Sciences,1999-10-13,7900000,11383718,720,Robert Mundell,for his analysis of monetary and fiscal policy under different exchange rate regimes and his analysis of optimum currency areas
1999,Literature,1999-09-30,7900000,11383718,676,Günter Grass,whose frolicsome black fables portray the forgotten face of history
1999,Peace,1999-10-15,7900000,11383718,568,Doctors Without Borders,in recognition of the organisation's pioneering humanitarian work on several continents
1999,Physics,1999-10-12,7900000,11383718,158,Gerardus 't Hooft,for elucidating the quantum structure of electroweak interactions in physics
1999,Physics,1999-10-12,7900000,11383718,159,Martinus J.G. Veltman,for elucidating the quantum structure of electroweak interactions in physics
1999,Physiology or Medicine,1999-10-11,7900000,11383718,461,Günter Blobel,for the discovery that proteins have intrinsic signals that govern their transport and localization in the cell
2000,Chemistry,2000-10-10,9000000,12838146,729,Alan Heeger,for the discovery and development of conductive polymers
2000,Chemistry,2000-10-10,9000000,12838146,730,Alan MacDiarmid,for the discovery and development of conductive polymers
2000,Chemistry,2000-10-10,9000000,12838146,731,Hideki Shirakawa,for the discovery and development of conductive polymers
2000,Economic Sciences,2000-10-11,9000000,12838146,732,James J. Heckman,for his development of theory and methods for analyzing selective samples
2000,Economic Sciences,2000-10-11,9000000,12838146,733,Daniel L. McFadden,for his development of theory and methods for analyzing discrete choice
2000,Literature,2000-10-12,9000000,12838146,734,Gao Xingjian,"for an œuvre of universal validity, bitter insights and linguistic ingenuity, which has opened new paths for the Chinese novel and drama"
2000,Peace,2000-10-13,9000000,12838146,725,Kim Dae-jung,"for his work for democracy and human rights in South Korea and in East Asia in general, and for peace and reconciliation with North Korea in particular"
2000,Physics,2000-10-10,9000000,12838146,726,Zhores Alferov,for developing semiconductor heterostructures used in high-speed- and opto-electronics
2000,Physics,2000-10-10,9000000,12838146,727,Herbert Kroemer,for developing semiconductor heterostructures used in high-speed- and opto-electronics
2000,Physics,2000-10-10,9000000,12838146,728,Jack Kilby,for his part in the invention of the integrated circuit
2000,Physiology or Medicine,2000-10-09,9000000,12838146,722,Arvid Carlsson,for their discoveries concerning signal transduction in the nervous system
2000,Physiology or Medicine,2000-10-09,9000000,12838146,723,Paul Greengard,for their discoveries concerning signal transduction in the nervous system
2000,Physiology or Medicine,2000-10-09,9000000,12838146,724,Eric Kandel,for their discoveries concerning signal transduction in the nervous system
2001,Chemistry,2001-10-10,10000000,13927869,741,William Knowles,for their work on chirally catalysed hydrogenation reactions
2001,Chemistry,2001-10-10,10000000,13927869,742,Ryoji Noyori,for their work on chirally catalysed hydrogenation reactions
2001,Chemistry,2001-10-10,10000000,13927869,743,K. Barry Sharpless,for his work on chirally catalysed oxidation reactions
2001,Economic Sciences,2001-10-10,10000000,13927869,744,George A. Akerlof,for their analyses of markets with asymmetric information
2001,Economic Sciences,2001-10-10,10000000,13927869,745,A. Michael Spence,for their analyses of markets with asymmetric information
2001,Economic Sciences,2001-10-10,10000000,13927869,746,Joseph E. Stiglitz,for their analyses of markets with asymmetric information
2001,Literature,2001-10-11,10000000,13927869,747,V. S. Naipaul,for having united perceptive narrative and incorruptible scrutiny in works that compel us to see the presence of suppressed histories
2001,Peace,2001-10-12,10000000,13927869,748,United Nations,for their work for a better organized and more peaceful world
2001,Peace,2001-10-12,10000000,13927869,749,Kofi Annan,for their work for a better organized and more peaceful world
2001,Physics,2001-10-09,10000000,13927869,738,Eric Cornell,"for the achievement of Bose-Einstein condensation in dilute gases of alkali atoms, and for early fundamental studies of the properties of the condensates"
2001,Physics,2001-10-09,10000000,13927869,739,Wolfgang Ketterle,"for the achievement of Bose-Einstein condensation in dilute gases of alkali atoms, and for early fundamental studies of the properties of the condensates"
2001,Physics,2001-10-09,10000000,13927869,740,Carl Wieman,"for the achievement of Bose-Einstein condensation in dilute gases of alkali atoms, and for early fundamental studies of the properties of the condensates"
2001,Physiology or Medicine,2001-10-08,10000000,13927869,735,Leland Hartwell,for their discoveries of key regulators of the cell cycle
2001,Physiology or Medicine,2001-10-08,10000000,13927869,736,Tim Hunt,for their discoveries of key regulators of the cell cycle
2001,Physiology or Medicine,2001-10-08,10000000,13927869,737,Sir Paul Nurse,for their discoveries of key regulators of the cell cycle
2002,Chemistry,2002-10-09,10000000,13632863,756,John B. Fenn,for their development of soft desorption ionisation methods for mass spectrometric analyses of biological macromolecules
2002,Chemistry,2002-10-09,10000000,13632863,757,Koichi Tanaka,for their development of soft desorption ionisation methods for mass spectrometric analyses of biological macromolecules
2002,Chemistry,2002-10-09,10000000,13632863,758,Kurt Wüthrich,for his development of nuclear magnetic resonance spectroscopy for determining the three-dimensional structure of biological macromolecules in solution
2002,Economic Sciences,2002-10-09,10000000,13632863,759,Daniel Kahneman,"for having integrated insights from psychological research into economic science, especially concerning human judgment and decision-making under uncertainty"
2002,Economic Sciences,2002-10-09,10000000,13632863,760,Vernon L. Smith,"for having established laboratory experiments as a tool in empirical economic analysis, especially in the study of alternative market mechanisms"
2002,Literature,2002-10-10,10000000,13632863,761,Imre Kertész,for writing that upholds the fragile experience of the individual against the barbaric arbitrariness of history
2002,Peace,2002-10-11,10000000,13632863,762,Jimmy Carter,"for his decades of untiring effort to find peaceful solutions to international conflicts, to advance democracy and human rights, and to promote economic and social development"
2002,Physics,2002-10-08,10000000,13632863,753,Raymond Davis Jr.,"for pioneering contributions to astrophysics, in particular for the detection of cosmic neutrinos"
2002,Physics,2002-10-08,10000000,13632863,754,Masatoshi Koshiba,"for pioneering contributions to astrophysics, in particular for the detection of cosmic neutrinos"
2002,Physics,2002-10-08,10000000,13632863,755,Riccardo Giacconi,"for pioneering contributions to astrophysics, which have led to the discovery of cosmic X-ray sources"
2002,Physiology or Medicine,2002-10-07,10000000,13632863,750,Sydney Brenner,for their discoveries concerning genetic regulation of organ development and programmed cell death'
2002,Physiology or Medicine,2002-10-07,10000000,13632863,751,H. Robert Horvitz,for their discoveries concerning genetic regulation of organ development and programmed cell death'
2002,Physiology or Medicine,2002-10-07,10000000,13632863,752,John E. Sulston,for their discoveries concerning genetic regulation of organ development and programmed cell death'
2003,Chemistry,2003-10-08,10000000,13375315,769,Peter Agre,for the discovery of water channels
2003,Chemistry,2003-10-08,10000000,13375315,770,Roderick MacKinnon,for structural and mechanistic studies of ion channels
2003,Economic Sciences,2003-10-08,10000000,13375315,771,Robert F. Engle III,for methods of analyzing economic time series with time-varying volatility (ARCH)
2003,Economic Sciences,2003-10-08,10000000,13375315,772,Clive W.J. Granger,for methods of analyzing economic time series with common trends (cointegration)
2003,Literature,2003-10-02,10000000,13375315,763,J. M. Coetzee,who in innumerable guises portrays the surprising involvement of the outsider
2003,Peace,2003-10-10,10000000,13375315,773,Shirin Ebadi,for her efforts for democracy and human rights. She has focused especially on the struggle for the rights of women and children
2003,Physics,2003-10-07,10000000,13375315,766,Alexei Abrikosov,for pioneering contributions to the theory of superconductors and superfluids
2003,Physics,2003-10-07,10000000,13375315,767,Vitaly L. Ginzburg,for pioneering contributions to the theory of superconductors and superfluids
2003,Physics,2003-10-07,10000000,13375315,768,Anthony J. Leggett,for pioneering contributions to the theory of superconductors and superfluids
2003,Physiology or Medicine,2003-10-06,10000000,13375315,764,Paul C. Lauterbur,for their discoveries concerning magnetic resonance imaging
2003,Physiology or Medicine,2003-10-06,10000000,13375315,765,Sir Peter Mansfield,for their discoveries concerning magnetic resonance imaging
2004,Chemistry,2004-10-06,10000000,13324969,779,Aaron Ciechanover,for the discovery of ubiquitin-mediated protein degradation
2004,Chemistry,2004-10-06,10000000,13324969,780,Avram Hershko,for the discovery of ubiquitin-mediated protein degradation
2004,Chemistry,2004-10-06,10000000,13324969,781,Irwin Rose,for the discovery of ubiquitin-mediated protein degradation
2004,Economic Sciences,2004-10-11,10000000,13324969,786,Finn E. Kydland,for their contributions to dynamic macroeconomics: the time consistency of economic policy and the driving forces behind business cycles
2004,Economic Sciences,2004-10-11,10000000,13324969,787,Edward C. Prescott,for their contributions to dynamic macroeconomics: the time consistency of economic policy and the driving forces behind business cycles
2004,Literature,2004-10-07,10000000,13324969,782,Elfriede Jelinek,for her musical flow of voices and counter-voices in novels and plays that with extraordinary linguistic zeal reveal the absurdity of society's clich&eacute;s and their subjugating power
2004,Peace,2004-10-08,10000000,13324969,783,Wangari Maathai,"for her contribution to sustainable development, democracy and peace"
2004,Physics,2004-10-05,10000000,13324969,776,David J. Gross,for the discovery of asymptotic freedom in the theory of the strong interaction
2004,Physics,2004-10-05,10000000,13324969,777,H. David Politzer,for the discovery of asymptotic freedom in the theory of the strong interaction
2004,Physics,2004-10-05,10000000,13324969,778,Frank Wilczek,for the discovery of asymptotic freedom in the theory of the strong interaction
2004,Physiology or Medicine,2004-10-04,10000000,13324969,774,Richard Axel,for their discoveries of odorant receptors and the organization of the olfactory system
2004,Physiology or Medicine,2004-10-04,10000000,13324969,775,Linda B. Buck,for their discoveries of odorant receptors and the organization of the olfactory system
2005,Chemistry,2005-10-05,10000000,13266708,794,Yves Chauvin,for the development of the metathesis method in organic synthesis
2005,Chemistry,2005-10-05,10000000,13266708,795,Robert H. Grubbs,for the development of the metathesis method in organic synthesis
2005,Chemistry,2005-10-05,10000000,13266708,796,Richard R. Schrock,for the development of the metathesis method in organic synthesis
2005,Economic Sciences,2005-10-10,10000000,13266708,799,Robert J. Aumann,for having enhanced our understanding of conflict and cooperation through game-theory analysis
2005,Economic Sciences,2005-10-10,10000000,13266708,800,Thomas C. Schelling,for having enhanced our understanding of conflict and cooperation through game-theory analysis
2005,Literature,2005-10-13,10000000,13266708,801,Harold Pinter,who in his plays uncovers the precipice under everyday prattle and forces entry into oppression's closed rooms
2005,Peace,2005-10-07,10000000,13266708,797,International Atomic Energy Agency,for their efforts to prevent nuclear energy from being used for military purposes and to ensure that nuclear energy for peaceful purposes is used in the safest possible way
2005,Peace,2005-10-07,10000000,13266708,798,Mohamed ElBaradei,for their efforts to prevent nuclear energy from being used for military purposes and to ensure that nuclear energy for peaceful purposes is used in the safest possible way
2005,Physics,2005-10-04,10000000,13266708,791,Roy J. Glauber,for his contribution to the quantum theory of optical coherence
2005,Physics,2005-10-04,10000000,13266708,792,John L. Hall,"for their contributions to the development of laser-based precision spectroscopy, including the optical frequency comb technique"
2005,Physics,2005-10-04,10000000,13266708,793,Theodor W. Hänsch,"for their contributions to the development of laser-based precision spectroscopy, including the optical frequency comb technique"
2005,Physiology or Medicine,2005-10-03,10000000,13266708,789,Barry J. Marshall,for their discovery of the bacterium <i>Helicobacter pylori</i> and its role in gastritis and peptic ulcer disease
2005,Physiology or Medicine,2005-10-03,10000000,13266708,790,J. Robin Warren,for their discovery of the bacterium <i>Helicobacter pylori</i> and its role in gastritis and peptic ulcer disease
2006,Chemistry,2006-10-04,10000000,13086876,806,Roger D. Kornberg,for his studies of the molecular basis of eukaryotic transcription
2006,Economic Sciences,2006-10-09,10000000,13086876,807,Edmund S. Phelps,for his analysis of intertemporal tradeoffs in macroeconomic policy
2006,Literature,2006-10-12,10000000,13086876,808,Orhan Pamuk,who in the quest for the melancholic soul of his native city has discovered new symbols for the clash and interlacing of cultures
2006,Peace,2006-10-13,10000000,13086876,809,Muhammad Yunus,for their efforts to create economic and social development from below
2006,Peace,2006-10-13,10000000,13086876,810,Grameen Bank,for their efforts to create economic and social development from below
2006,Physics,2006-10-03,10000000,13086876,804,John C. Mather,for their discovery of the blackbody form and anisotropy of the cosmic microwave background radiation
2006,Physics,2006-10-03,10000000,13086876,805,George F. Smoot,for their discovery of the blackbody form and anisotropy of the cosmic microwave background radiation
2006,Physiology or Medicine,2006-10-02,10000000,13086876,802,Andrew Z. Fire,for their discovery of RNA interference - gene silencing by double-stranded RNA
2006,Physiology or Medicine,2006-10-02,10000000,13086876,803,Craig C. Mello,for their discovery of RNA interference - gene silencing by double-stranded RNA
2007,Chemistry,2007-10-10,10000000,12802893,816,Gerhard Ertl,for his studies of chemical processes on solid surfaces
2007,Economic Sciences,2007-10-15,10000000,12802893,820,Leonid Hurwicz,for having laid the foundations of mechanism design theory
2007,Economic Sciences,2007-10-15,10000000,12802893,821,Eric S. Maskin,for having laid the foundations of mechanism design theory
2007,Economic Sciences,2007-10-15,10000000,12802893,822,Roger B. Myerson,for having laid the foundations of mechanism design theory
2007,Literature,2007-10-11,10000000,12802893,817,Doris Lessing,"that epicist of the female experience, who with scepticism, fire and visionary power has subjected a divided civilisation to scrutiny"
2007,Peace,2007-10-12,10000000,12802893,818,Intergovernmental Panel on Climate Change,"for their efforts to build up and disseminate greater knowledge about man-made climate change, and to lay the foundations for the measures that are needed to counteract such change"
2007,Peace,2007-10-12,10000000,12802893,819,Al Gore,"for their efforts to build up and disseminate greater knowledge about man-made climate change, and to lay the foundations for the measures that are needed to counteract such change"
2007,Physics,2007-10-09,10000000,12802893,814,Albert Fert,for the discovery of Giant Magnetoresistance
2007,Physics,2007-10-09,10000000,12802893,815,Peter Grünberg,for the discovery of Giant Magnetoresistance
2007,Physiology or Medicine,2007-10-08,10000000,12802893,811,Mario R. Capecchi,for their discoveries of principles for introducing specific gene modifications in mice by the use of embryonic stem cells
2007,Physiology or Medicine,2007-10-08,10000000,12802893,812,Sir Martin J. Evans,for their discoveries of principles for introducing specific gene modifications in mice by the use of embryonic stem cells
2007,Physiology or Medicine,2007-10-08,10000000,12802893,813,Oliver Smithies,for their discoveries of principles for introducing specific gene modifications in mice by the use of embryonic stem cells
2008,Chemistry,2008-10-08,10000000,12377622,829,Osamu Shimomura,"for the discovery and development of the green fluorescent protein, GFP"
2008,Chemistry,2008-10-08,10000000,12377622,830,Martin Chalfie,"for the discovery and development of the green fluorescent protein, GFP"
2008,Chemistry,2008-10-08,10000000,12377622,831,Roger Y. Tsien,"for the discovery and development of the green fluorescent protein, GFP"
2008,Economic Sciences,2008-10-13,10000000,12377622,834,Paul Krugman,for his analysis of trade patterns and location of economic activity
